product_id	product_name	sku	category_name	brand_name	price	compare_price	inventory_quantity	is_active	is_featured	created_at
21	Bose QuietComfort 45	BOSE-QC45	Audio	Bose	329.00	379.00	80	true	false	2024-01-21 16:30:00
22	Nike Dunk Low	NIKE-DUNK-BLK	Men's Clothing	Nike	110.00	130.00	180	true	false	2024-01-22 11:00:00
23	Adidas NMD R1	ADIDAS-NMD-BLK	Men's Clothing	Adidas	130.00	150.00	160	true	false	2024-01-23 13:45:00
24	iPhone 12	IPH12-64	Smartphones	Apple	499.00	599.00	90	true	false	2024-01-24 15:00:00
25	Samsung Galaxy A34	SGS-A34-128	Smartphones	Samsung	299.00	349.00	120	true	false	2024-01-25 09:45:00
26	Surface Laptop 5	MS-SURFACE-L5	Laptops	Microsoft	1099.00	1299.00	25	true	false	2024-01-26 12:15:00
27	Lenovo ThinkPad X1	LENOVO-X1	Laptops	Lenovo	1399.00	1599.00	20	true	false	2024-01-27 14:30:00
28	Sennheiser HD 660S	SENN-HD660S	Audio	Sennheiser	499.00	599.00	40	true	false	2024-01-28 10:45:00
29	Audio-Technica ATH-M50x	AT-ATHM50X	Audio	Audio-Technica	149.00	179.00	100	true	false	2024-01-29 16:00:00
30	Nike React Element 55	NIKE-REACT-55	Men's Clothing	Nike	120.00	140.00	140	true	false	2024-01-30 11:30:00
31	Adidas Solar Boost	ADIDAS-SOLAR-BST	Men's Clothing	Adidas	160.00	180.00	110	true	false	2024-01-31 13:15:00
32	iPhone SE 3rd Gen	IPHSE3-64	Smartphones	Apple	429.00	479.00	80	true	false	2024-02-01 15:30:00
33	Samsung Galaxy Z Flip5	SGS-ZFLIP5	Smartphones	Samsung	999.00	1099.00	15	true	true	2024-02-02 09:00:00
34	MacBook Air 15"	MBA15-M2	Laptops	Apple	1299.00	1399.00	18	true	false	2024-02-03 12:45:00
35	ASUS ROG Zephyrus	ASUS-ROG-ZEPH	Laptops	ASUS	1799.00	1999.00	12	true	false	2024-02-04 14:20:00
36	JBL Live 660NC	JBL-LIVE660NC	Audio	JBL	99.00	129.00	200	true	false	2024-02-05 16:35:00
37	Beats Studio3	BEATS-STUDIO3	Audio	Beats	199.00	229.00	90	true	false	2024-02-06 10:50:00
38	Nike Blazer Mid	NIKE-BLAZER-MID	Men's Clothing	Nike	85.00	105.00	220	true	false	2024-02-07 13:05:00
39	Adidas Gazelle	ADIDAS-GAZELLE	Men's Clothing	Adidas	90.00	110.00	190	true	false	2024-02-08 15:20:00
40	iPhone 15	IPH15-128	Smartphones	Apple	799.00	899.00	55	true	false	2024-02-09 11:35:00
41	Samsung Galaxy S24+	SGS24PLUS-256	Smartphones	Samsung	999.00	1099.00	35	true	true	2024-02-10 14:50:00
42	MacBook Pro 13"	MBP13-M2	Laptops	Apple	1299.00	1399.00	22	true	false	2024-02-11 16:05:00
43	Surface Pro 9	MS-SURFACE-P9	Laptops	Microsoft	999.00	1199.00	28	true	false	2024-02-12 09:20:00
44	Marshall Major IV	MARSHALL-MAJOR4	Audio	Marshall	149.00	179.00	60	true	false	2024-02-13 12:35:00
45	Skullcandy Crusher	SKULL-CRUSHER	Audio	Skullcandy	79.00	99.00	180	true	false	2024-02-14 14:50:00
46	Nike Cortez	NIKE-CORTEZ	Men's Clothing	Nike	75.00	95.00	250	true	false	2024-02-15 16:05:00
47	Adidas Superstar	ADIDAS-SUPERSTAR	Men's Clothing	Adidas	80.00	100.00	210	true	false	2024-02-16 10:20:00
48	iPhone 15 Plus	IPH15PLUS-128	Smartphones	Apple	899.00	999.00	40	true	false	2024-02-17 13:35:00
49	Samsung Galaxy Z Fold5	SGS-ZFOLD5	Smartphones	Samsung	1799.00	1899.00	8	true	true	2024-02-18 15:50:00
50	MacBook Pro 16" M3 Max	MBP16-M3MAX	Laptops	Apple	3499.00	3699.00	5	true	true	2024-02-19 11:05:00
51	Razer Blade 15	RAZER-BLADE15	Laptops	Razer	1999.00	2199.00	8	true	false	2024-02-20 13:20:00
52	SteelSeries Arctis 7	STEEL-ARCTIS7	Audio	SteelSeries	149.00	179.00	70	true	false	2024-02-21 15:35:00
53	Corsair Virtuoso	CORSAIR-VIRTUOSO	Audio	Corsair	199.00	229.00	50	true	false	2024-02-22 10:50:00
54	Nike Jordan 1	NIKE-JORDAN1	Men's Clothing	Nike	170.00	190.00	45	true	true	2024-02-23 12:05:00
55	Adidas Yeezy Boost 350	ADIDAS-YEEZY350	Men's Clothing	Adidas	220.00	250.00	25	true	true	2024-02-24 14:20:00
56	iPhone 14 Plus	IPH14PLUS-128	Smartphones	Apple	799.00	899.00	30	true	false	2024-02-25 16:35:00
57	Samsung Galaxy A24	SGS-A24-64	Smartphones	Samsung	199.00	249.00	150	true	false	2024-02-26 09:50:00
58	MacBook Air M1	MBA-M1-256	Laptops	Apple	999.00	1099.00	40	true	false	2024-02-27 11:05:00
59	Surface Laptop Go	MS-SURFACE-LGO	Laptops	Microsoft	599.00	699.00	60	true	false	2024-02-28 13:20:00
60	Jabra Elite 85t	JABRA-ELITE85T	Audio	Jabra	179.00	199.00	80	true	false	2024-02-29 15:35:00
